tick,scenario_type,precipitation,fog,sun_altitude,dist_gt,dist_lidar,dist_stereo,dist_camera,dist_ai,w_lidar,w_stereo,w_camera,w_ai,d_fusion,v_approach,v_app_clamped,mu_factor,risk_numerator,risk_denominator,risk_score
1,D,20,30,-32.362896753575534,40.0,39.96659254931191,39.66005161234482,40.125919287894384,40.15885766381996,0.325,0.195,0.13,0.35,39.99482233269687,6.900504982390906,6.900504982390906,1.5,103.50757473586359,1599.5958134239884,0.06470858067220253
2,D,20,30,-32.362896753575534,39.6010101010101,39.607223318936136,39.22736138191968,41.387788650738855,39.37176685660952,0.325,0.195,0.13,0.35,39.682213972537966,13.555985290801358,13.555985290801358,1.5,203.33977936202038,1574.6881057622873,0.12913019322234995
3,D,20,30,-32.362896753575534,39.2020202020202,39.154934009524304,39.15116178811009,38.37021781978468,39.40336693055151,0.325,0.195,0.13,0.35,39.1391368440419,10.050732714008667,10.050732714008667,1.5,150.76099071013002,1531.882032896638,0.09841553557819059
4,D,20,30,-32.362896753575534,38.80303030303031,38.726916067822586,38.55186560577639,39.49365781161312,38.736640438946985,0.325,0.195,0.13,0.35,38.795861184309885,11.510896024804971,11.510896024804971,1.5,172.66344037207458,1505.1288450322425,0.11471671740393483
5,D,20,30,-32.362896753575534,38.4040404040404,38.5074191424189,37.66003034958038,40.0499887450331,38.669367410913,0.325,0.195,0.13,0.35,38.59939427012817,5.157500203140702,5.157500203140702,1.5,77.36250304711054,1489.9232380208036,0.05192381800144145
6,D,20,30,-32.362896753575534,38.005050505050505,37.85690707939185,37.901460241017126,38.81024328281947,37.86919304190998,0.325,0.195,0.13,0.35,37.99382873923572,9.258098700852994,9.258098700852994,1.5,138.8714805127949,1443.5410222663738,0.09620196334619247
7,D,20,30,-32.362896753575534,37.60606060606061,37.62982993657745,37.55163603510422,39.17951634201903,37.82317674740312,0.325,0.195,0.13,0.35,37.88371274228656,6.789392301787396,6.789392301787396,1.5,101.84088452681094,1435.1856911400853,0.07096007517041952
8,D,20,30,-32.362896753575534,37.20707070707071,37.23911262786869,37.84353091171808,37.67698371602103,36.97661703510517,0.325,0.195,0.13,0.35,37.32202397721189,8.104928017454302,8.104928017454302,1.5,121.57392026181454,1392.9434737555794,0.08727843056978721
9,D,20,30,-32.362896753575534,36.80808080808081,36.84283221006431,37.26168939162696,37.51889670135583,36.669630374760125,0.325,0.195,0.13,0.35,36.95177710198046,11.740410058861473,11.740410058861473,1.5,176.1061508829221,1365.4438309944476,0.12897355928194032
10,D,20,30,-32.362896753575534,36.40909090909091,36.441689728999485,36.11238799091736,35.88988863794333,36.76949394585761,0.325,0.195,0.13,0.35,36.420473224136515,8.794575187284513,8.794575187284513,1.5,131.9186278092677,1326.460869870045,0.09945157886353023
11,D,20,30,-32.362896753575534,36.01010101010101,35.9823391189524,36.67417165426267,35.79903266794587,36.15283640388065,0.325,0.195,0.13,0.35,36.153090674431944,11.02806859710336,11.02806859710336,1.5,165.4210289565504,1307.055965313698,0.12656001988166496
12,D,20,30,-32.362896753575534,35.611111111111114,35.66832013840805,35.99026855211896,34.24682554623917,35.55558181443783,0.325,0.195,0.13,0.35,35.50684736871014,10.081423293941164,10.081423293941164,1.5,151.22134940911747,1260.7462100648781,0.11994590838495212
13,D,20,30,-32.362896753575534,35.21212121212121,35.15713204613542,34.75266262014865,34.021714316504315,35.22209757046707,0.325,0.195,0.13,0.35,34.95339413673204,8.39496484655605,8.39496484655605,1.5,125.92447269834075,1221.7497616777334,0.10306895622014979
14,D,20,30,-32.362896753575534,34.813131313131315,34.82370971612978,35.0610586058481,34.30975919013664,34.79322610231006,0.325,0.195,0.13,0.35,34.79250991640885,7.94764134411211,7.94764134411211,1.5,119.21462016168165,1210.5287462834078,0.09848144501127877
15,D,20,30,-32.362896753575534,34.41414141414141,34.327083565015315,34.620319287538216,32.426645271459584,34.36988275590793,0.325,0.195,0.13,0.35,34.15218726955745,5.282604092610256,5.282604092610256,1.5,79.23906138915385,1166.381895294922,0.06793577790327249
16,D,20,30,-32.362896753575534,34.01515151515152,34.11413729344726,33.920380000711084,33.78923651338532,34.13819390815484,0.325,0.195,0.13,0.35,34.042537335103304,14.866474689160109,14.866474689160109,1.5,222.99712033740164,1158.9043482119023,0.19242064341329684
