tick,scenario_type,precipitation,fog,sun_altitude,dist_gt,dist_lidar,dist_stereo,dist_camera,dist_ai,w_lidar,w_stereo,w_camera,w_ai,d_fusion,v_approach,v_app_clamped,mu_factor,risk_numerator,risk_denominator,risk_score
1,A,100,70,3.0496348711052548,40.0,40.14320911006927,39.6125912769268,43.68526903727712,39.87993665291287,0.075,0.045,0.03,0.85,40.001811516811145,8.170234300154888,8.170234300154888,1.8,147.064217402788,1600.1549246264847,0.09190623678961359
2,A,100,70,3.0496348711052548,39.6010101010101,40.257674671289,37.36314439724727,31.03393149661069,40.66463533074522,0.075,0.045,0.03,0.85,40.19662507425456,12.440293591142634,12.440293591142634,1.8,223.9252846405674,1615.7786673601906,0.13858660790862504
3,A,100,70,3.0496348711052548,39.2020202020202,39.43571777487168,39.89132693242116,36.65020084864981,39.40960206778202,0.075,0.045,0.03,0.85,39.35045632814854,10.237554319321552,10.237554319321552,1.8,184.27597774778792,1548.4684132335253,0.11900531917404839
4,A,100,70,3.0496348711052548,38.80303030303031,39.17433284077397,37.9750904279825,32.69616422097959,37.67254368058844,0.075,0.045,0.03,0.85,37.64950108744682,13.966181755093858,13.966181755093858,1.8,251.39127159168945,1417.4949321336594,0.17734897380781964
5,A,100,70,3.0496348711052548,38.4040404040404,38.60375309147726,41.392503912183614,40.9669242258372,38.20213216115226,0.075,0.045,0.03,0.85,38.45876422166359,6.928353777349766,6.928353777349766,1.8,124.7103679922958,1479.0865454575116,0.08431580178678479
6,A,100,70,3.0496348711052548,38.005050505050505,37.84426134855188,36.38899143057092,36.29594020536803,36.48992197521874,0.075,0.045,0.03,0.85,36.58113610061405,13.647769482259497,13.647769482259497,1.8,245.65985068067093,1338.1895184116488,0.18357627772503743
7,A,100,70,3.0496348711052548,37.60606060606061,37.881481119069285,37.7049571091322,42.22774238247542,36.8083559794356,0.075,0.045,0.03,0.85,37.09176900783567,9.703191711575432,9.703191711575432,1.8,174.65745080835777,1375.809328130639,0.12694887818915362
8,A,100,70,3.0496348711052548,37.20707070707071,37.51703764725709,38.2052081866155,42.96400493298434,37.37276369557788,0.075,0.045,0.03,0.85,37.58878148117271,14.281494709356515,14.281494709356515,1.8,257.06690476841726,1412.9264932393523,0.18193933371512602
9,A,100,70,3.0496348711052548,36.80808080808081,37.3325357721883,35.090676020123794,38.8802693508025,36.23991544541023,0.075,0.045,0.03,0.85,36.34935681294247,7.298873813282263,7.298873813282263,1.8,131.37972863908072,1321.2857407146068,0.09943324489979363
10,A,100,70,3.0496348711052548,36.40909090909091,35.81749379574297,38.41325299011516,37.712799579616025,36.09961217115432,0.075,0.045,0.03,0.85,36.230962752105555,5.770637679376075,5.770637679376075,1.8,103.87147822876935,1312.69266194446,0.07912855860328116
11,A,100,70,3.0496348711052548,36.01010101010101,35.49027974243549,38.730993858577335,31.53495030345228,35.23838364735703,0.075,0.045,0.03,0.85,35.30334031367568,13.145771165121522,13.145771165121522,1.8,236.62388097218738,1246.3358373031988,0.18985563432420452
12,A,100,70,3.0496348711052548,35.611111111111114,35.599621393041296,37.46291727508065,35.75130863659473,35.68349962486997,0.075,0.045,0.03,0.85,35.759316822094036,12.74875018460949,12.74875018460949,1.8,229.47750332297082,1278.7387395828976,0.17945612830797822
13,A,100,70,3.0496348711052548,35.21212121212121,35.828926742462066,34.247715317996224,35.29505597969094,35.5836220403932,0.075,0.045,0.03,0.85,35.53324710871943,8.677516327648602,8.677516327648602,1.8,156.19529389767484,1262.6216500893177,0.12370712468507539
14,A,100,70,3.0496348711052548,34.813131313131315,35.22654544988717,33.99101817543073,39.97033768738489,35.19157364656809,0.075,0.045,0.03,0.85,35.28353445684034,12.689260448441388,12.689260448441388,1.8,228.40668807194498,1244.9378037670397,0.18346835270068307
15,A,100,70,3.0496348711052548,34.41414141414141,33.60305639025717,35.94308988003626,38.57110262699608,34.31639691481237,0.075,0.045,0.03,0.85,34.46373873027132,14.55748105897234,14.55748105897234,1.8,262.0346590615021,1187.759287268403,0.2206125953888576
16,A,100,70,3.0496348711052548,34.01515151515152,34.65563697644186,33.06390252174929,33.13148583164111,34.76627429710778,0.075,0.045,0.03,0.85,34.6323261142027,8.322338501775654,8.322338501775654,1.8,149.80209303196176,1199.408012080486,0.12489669197066304
17,A,100,70,3.0496348711052548,33.61616161616162,33.54475488310552,33.521285010982204,39.78425922930157,32.887624079149965,0.075,0.045,0.03,0.85,33.17232268588363,5.501970319329272,5.501970319329272,1.8,99.0354657479269,1100.4129923763896,0.0899984518849196
18,A,100,70,3.0496348711052548,33.21717171717172,32.73672739416923,32.63663275598908,27.210325676785185,34.20387798495184,0.075,0.045,0.03,0.85,33.81350908609482,13.331012213127709,13.331012213127709,1.8,239.95821983629875,1143.363396715417,0.20987047558600858
19,A,100,70,3.0496348711052548,32.81818181818182,32.53152293122756,32.442523900335345,31.1113688191288,33.40878262763604,0.075,0.045,0.03,0.85,33.230584093421655,11.943679480509266,11.943679480509266,1.8,214.98623064916677,1104.2817191899683,0.19468422497011648
20,A,100,70,3.0496348711052548,32.41919191919192,32.23399545563848,33.65364011566126,34.381026712623935,33.85934312131971,0.075,0.045,0.03,0.85,33.74383591887811,14.358578578195925,14.358578578195925,1.8,258.45441440752666,1138.6564625201686,0.22698190623315304
21,A,100,70,3.0496348711052548,32.02020202020202,32.25332409907902,31.69056153337456,31.565973618305208,32.74727450929977,0.075,0.045,0.03,0.85,32.62723711788674,14.929267129262865,14.929267129262865,1.8,268.72680832673154,1064.5466019468065,0.25243310892664833
22,A,100,70,3.0496348711052548,31.62121212121212,31.847368104193063,27.952657559405104,22.165219468171045,31.578001976525403,0.075,0.045,0.03,0.85,31.15268046207943,11.990323390806186,11.990323390806186,1.8,215.82582103451134,970.4994999724255,0.22238632893746316
23,A,100,70,3.0496348711052548,31.22222222222222,31.15610380070377,31.24039235142919,39.43610619272211,32.17107090142748,0.075,0.045,0.03,0.85,32.271018892862116,8.52002046363732,8.52002046363732,1.8,153.36036834547176,1041.4286603834637,0.1472596003733977
24,A,100,70,3.0496348711052548,30.823232323232325,30.846080906886865,31.9697811982727,33.091531972176554,31.09507217198748,0.075,0.045,0.03,0.85,31.175653527293438,9.729988096638357,9.729988096638357,1.8,175.1397857394904,971.9313728538438,0.18019768744086773
25,A,100,70,3.0496348711052548,30.424242424242426,30.82555550481245,31.206034427852448,33.25336880460261,30.609505252590868,0.075,0.045,0.03,0.85,30.73186874095461,12.58495535164279,12.58495535164279,1.8,226.52919632957023,944.4577563112631,0.23985106249147414
26,A,100,70,3.0496348711052548,30.02525252525253,29.875705648785868,29.47329597740265,33.523352057042544,31.34405084635394,0.075,0.045,0.03,0.85,31.215120023754185,6.74114026310626,6.74114026310626,1.8,121.34052473591268,974.3937180973795,0.12452925596938842
27,A,100,70,3.0496348711052548,29.626262626262623,30.232222292780417,31.339332811017467,28.185717223281817,30.024619683702003,0.075,0.045,0.03,0.85,30.044184896299473,10.598991819482348,10.598991819482348,1.8,190.78185275068228,902.6630460830294,0.21135445123022534
28,A,100,70,3.0496348711052548,29.227272727272727,29.316057436872317,28.12344944302657,30.5536736107212,28.266275034257696,0.075,0.045,0.03,0.85,28.407203520142296,5.863936065791186,5.863936065791186,1.8,105.55084918424134,806.9792118347849,0.13079748230968194
29,A,100,70,3.0496348711052548,28.828282828282827,28.54418806856833,27.93052311407744,25.014737361077508,28.846602564405828,0.075,0.045,0.03,0.85,28.667741945853386,12.7780623995574,12.7780623995574,1.8,230.0051231920332,821.8494282740417,0.27986284990799937
